CMS_ID;LANGUAGE;NAZIV_RESORT;KRATAK_OPIS_RESORT;ID_TABLICA;CREATED_DATE_;MODIFIED_DATE_
218;SL;Valamar Argosy Hotel 4*;Hotel Valamar Argosy v objemu osupljive sredozemske pokrajine predstavlja idealno izbiro za pare v bližini starega mestnega jedra Dubrovnika.;50;2023-05-05 14:03:02;2023-05-05 14:03:02
220;D;Dubrovnik President Valamar Collection Hotel 5*;Dieses exzellente 5-Sterne-Hotel bietet das beste Urlaubserlebnis in Dubrovnik.;51;2023-05-05 14:03:02;2023-05-05 14:03:02
220;E;Dubrovnik President Valamar Collection Hotel 5*;This exquisite 5-star hotel provides you with the ultimate Dubrovnik experience.;52;2023-05-05 14:03:02;2023-05-05 14:03:02
220;HR;Dubrovnik President Valamar Collection Hotel 5*;Ovaj izvrstan hotel s 5 zvjezdica pruža najbolji doživljaj Dubrovnika.;53;2023-05-05 14:03:02;2023-05-05 14:03:02
220;I;Dubrovnik President Valamar Collection Hotel 5*;Questo eccellente hotel 5 stelle vi regalerà la migliore esperienza di Dubrovnik.;54;2023-05-05 14:03:02;2023-05-05 14:03:02
220;SL;Dubrovnik President Valamar Collection Hotel 5*;Izvrsten hotel s 5 zvezdicami ponuja najboljše doživetje Dubrovnika.;55;2023-05-05 14:03:02;2023-05-05 14:03:02
221;SL;Valamar Riviera Hotel & Residence 4*;Doživite vso lepoto in sredozemski šarm starega dela Poreča med dopustovanjem v Valamar Riviera Hotel & Residence, kjer vas od letošnjega leta pričakuje tudi nova storitev Champagne Breakfast & Brunch.trebaFixati;56;2023-05-05 14:03:02;2023-05-05 14:03:02
221;D;Valamar Riviera Hotel & Residence 4*;Erleben Sie den mediterranen Charme der Altstadt von Poreč während Ihres Urlaubs im Valamar Riviera Hotel & Residence, denn hier erwartet Sie ab sofort unser neues Serviceangebot „Champagne Breakfast & Brunch“.trebaFixati;57;2023-05-05 14:03:02;2023-05-05 14:03:02
221;E;Valamar Riviera Hotel & Residence 4*;Experience the old town of Poreč and its Mediterranean charm during your stay at the Valamar Riviera Hotel & Residence, which now offers our new Champagne Breakfast & Brunch service.trebaFixati;58;2023-05-05 14:03:02;2023-05-05 14:03:02
221;HR;Valamar Riviera Hotel & Residence 4*;Doživite svu ljepotu i mediteranski šarm starog grada Poreča za vrijeme odmora u Valamar Riviera Hotel & Residenceu gdje će vas od ove godine dočekati i nova usluga Champagne Breakfast & Brunch.trebaFixati;59;2023-05-05 14:03:02;2023-05-05 14:03:02
221;I;Valamar Riviera Hotel & Residence 4*;Ammirate tutta la bellezza e il fascino mediterraneo che si celano nel centro storico di Parenzo soggiornando nel Valamar Riviera Hotel & Residence, il quale da quest’anno offre il nuovo Champagne Breakfast & Brunch.trebaFixati;60;2023-05-05 14:03:02;2023-05-05 14:03:02
224;I;Rubin Sunny Hotel by Valamar 3*;Al Rubin Sunny Hotel, in cui ogni elemento rievoca il rilassante stile da spiaggia, potete godervi una vacanza piacevole, al vostro ritmo.;61;2023-05-05 14:03:02;2023-05-05 14:03:02
224;SL;Rubin Sunny Hotel by Valamar 3*;V Rubin Sunny Hotelu je dopust popolnoma prilagojen vašemu ritmu, medtem ko je lahkoten sredozemski življenjski slog vtkan v vsak element tega morskega zatočišča.trebaFixati;62;2023-05-05 14:03:02;2023-05-05 14:03:02
224;D;Rubin Sunny Hotel by Valamar 3*;Im Rubin Sunny Hotel können Sie Urlaub ganz in Ihrem eigenen Rhythmus genießen.;63;2023-05-05 14:03:02;2023-05-05 14:03:02
224;E;Rubin Sunny Hotel by Valamar 3*;At Rubin Sunny Hotel vacation time is designed completely at your own pace and relaxed beach lifestyle culture is sewn-in the very fabric of each element of the hotel.trebaFixati;64;2023-05-05 14:03:02;2023-05-05 14:03:02
224;HR;Rubin Sunny Hotel by Valamar 3*;U Rubin Sunny Hotelu odmor je u potpunosti podređen vašem ritmu, a lagodan mediteranski stil života utkan u svaki element ovoga morskog utočišta.;65;2023-05-05 14:03:02;2023-05-05 14:03:02
232;D;Allegro Sunny Hotel & Residence by Valamar 3*;Mit ihrer Lage in der grünen Oase der Halbinsel St. Andrea in Rabac sind die familienfreundliche Allegro Sunny Hotel & Residence die ideale Wahl für einen Familienurlaub sowie für Gäste, die auf der Suche nach einem aktionsreichen Urlaub in der Natur sind.trebaFixati;66;2023-05-05 14:03:02;2023-05-05 14:03:02
232;E;Allegro Sunny Hotel & Residence by Valamar 3*;Located in the green oasis of the Sv. Andrea peninsula in Rabac, the family-oriented Allegro Sunny Hotel & Residence are ideal for a family holiday.;67;2023-05-05 14:03:02;2023-05-19 08:57:40
232;HR;Allegro Sunny Hotel & Residence by Valamar 3*;Smješteni u zelenoj oazi poluotoka Sv. Andrea u Rapcu, obiteljski Allegro Sunny Hotel & Residence idealan su izbor za obiteljski odmor i goste koji traže aktivni odmor u prirodi.trebaFixati;68;2023-05-05 14:03:02;2023-05-05 14:03:02
